"name","series","age","occupation","hometown","first_name","episode","technical","result","signature","show_stopper"
"Ali Imdad","4",25,"Charity worker","Saltley, Birmingham","Ali","1",11,"IN","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake"
"Ali Imdad","4",25,"Charity worker","Saltley, Birmingham","Ali","2",9,"IN","Italian Grissini","Sweet and Savoury Yin Yang Bread"
"Ali Imdad","4",25,"Charity worker","Saltley, Birmingham","Ali","3",5,"IN","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops"
"Ali Imdad","4",25,"Charity worker","Saltley, Birmingham","Ali","4",8,"OUT","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha"
"Ali Imdad","4",25,"Charity worker","Saltley, Birmingham","Ali","5",NA,NA,NA,NA
"Ali Imdad","4",25,"Charity worker","Saltley, Birmingham","Ali","6",NA,NA,NA,NA
"Ali Imdad","4",25,"Charity worker","Saltley, Birmingham","Ali","7",NA,NA,NA,NA
"Ali Imdad","4",25,"Charity worker","Saltley, Birmingham","Ali","8",NA,NA,NA,NA
"Ali Imdad","4",25,"Charity worker","Saltley, Birmingham","Ali","9",NA,NA,NA,NA
"Ali Imdad","4",25,"Charity worker","Saltley, Birmingham","Ali","10",NA,NA,NA,NA
"Alice Fevronia","10",28,"Geography teacher","Essex","Alice","1",5,"IN",NA,NA
"Alice Fevronia","10",28,"Geography teacher","Essex","Alice","2",1,"STAR BAKER",NA,NA
"Alice Fevronia","10",28,"Geography teacher","Essex","Alice","3",7,"IN",NA,NA
"Alice Fevronia","10",28,"Geography teacher","Essex","Alice","4",8,"IN",NA,NA
"Alice Fevronia","10",28,"Geography teacher","Essex","Alice","5",6,"IN",NA,NA
"Alice Fevronia","10",28,"Geography teacher","Essex","Alice","6",1,"IN",NA,NA
"Alice Fevronia","10",28,"Geography teacher","Essex","Alice","7",6,"IN",NA,NA
